FeatureCode,city,FeatureType,date,births,deaths,rate
S12000050,North Lanarkshire,Council Area,2017,"3,558",51,14.33389545
S12000023,Orkney Islands,Council Area,2017,184,0,0
S12000048,Perth and Kinross,Council Area,2017,"1,210",22,18.18181818
S12000038,Renfrewshire,Council Area,2017,"1,794",29,16.16499443
S12000026,Scottish Borders,Council Area,2017,989,15,15.16683519
S12000027,Shetland Islands,Council Area,2017,218,4,18.34862385
S12000028,South Ayrshire,Council Area,2017,937,19,20.27748132
S12000029,South Lanarkshire,Council Area,2017,"3,205",28,8.736349454
S12000030,Stirling,Council Area,2017,804,13,16.16915423
S12000039,West Dunbartonshire,Council Area,2017,891,9,10.1010101
S12000040,West Lothian,Council Area,2017,"1,926",14,7.268951194
S12000033,Aberdeen City,Council Area,2018,"2,337",25,10.6974754
S12000034,Aberdeenshire,Council Area,2018,"2,697",24,8.898776418
S12000041,Angus,Council Area,2018,964,12,12.44813278
S12000035,Argyll and Bute,Council Area,2018,648,4,6.172839506
S12000036,City of Edinburgh,Council Area,2018,"4,899",83,16.94223311
S12000005,Clackmannanshire,Council Area,2018,465,3,6.451612903
S12000006,Dumfries and Galloway,Council Area,2018,"1,198",12,10.01669449
S12000042,Dundee City,Council Area,2018,"1,488",32,21.50537634
S12000008,East Ayrshire,Council Area,2018,"1,176",12,10.20408163
S12000045,East Dunbartonshire,Council Area,2018,950,14,14.73684211
S12000010,East Lothian,Council Area,2018,"1,020",16,15.68627451
S12000011,East Renfrewshire,Council Area,2018,854,8,9.367681499
S12000014,Falkirk,Council Area,2018,"1,493",13,8.707300737
S12000047,Fife,Council Area,2018,"3,479",47,13.5096292
S12000049,Glasgow City,Council Area,2018,"6,548",90,13.74465486
S12000017,Highland,Council Area,2018,"2,005",25,12.46882793
S12000018,Inverclyde,Council Area,2018,689,6,8.708272859
S12000019,Midlothian,Council Area,2018,"1,075",13,12.09302326
S12000020,Moray,Council Area,2018,825,11,13.33333333
S12000013,Na h-Eileanan Siar,Council Area,2018,206,0,0
S12000021,North Ayrshire,Council Area,2018,"1,125",6,5.333333333
S12000050,North Lanarkshire,Council Area,2018,"3,387",24,7.08591674
S12000023,Orkney Islands,Council Area,2018,186,0,0
S12000048,Perth and Kinross,Council Area,2018,"1,217",14,11.50369762
S12000038,Renfrewshire,Council Area,2018,"1,697",13,7.66057749
S12000026,Scottish Borders,Council Area,2018,984,14,14.22764228
S12000027,Shetland Islands,Council Area,2018,215,0,0
S12000028,South Ayrshire,Council Area,2018,932,8,8.583690987
S12000029,South Lanarkshire,Council Area,2018,"3,153",54,17.12654615
S12000030,Stirling,Council Area,2018,757,4,5.284015852
S12000039,West Dunbartonshire,Council Area,2018,885,8,9.039548023
S12000040,West Lothian,Council Area,2018,"1,754",22,12.54275941
S12000033,Aberdeen City,Council Area,2019,"2,260",21,9.292035398
S12000034,Aberdeenshire,Council Area,2019,"2,400",33,13.75
